word	abbreviation
Occupation	OCCP
Ocean	OCN
Occupancy	OCPY
Occurrence	OCR
October	OCT
Officer	OFC
Office	OFC
Official	OFCL
Offload	OFLD
Overflow	OFLW
Offeror	OFR
Offer	OFR
Offset	OFST
Onhand	OHND
Oilseed	OIL
Overmarketed	OMKT
Onboard	ONBRD
Operation	OP
Operate	OP
Opening	OPEN
Opened	OPEN
Operator	OPER
Operation	OPER
Operating	OPER
Open	OPN
Opposing	OPOS
Oppose	OPOS
Operator	OPR
Optional	OPT
Option	OPT
Optimum	OPTM
Output	OPUT
Overpayment	OPYMT
Orchard	ORCH
Ordering	ORD
Ordered	ORD
Order	ORD
Organized	ORG
Organizational	ORG
Organization	ORG
Originator	ORGN
Origination	ORGN
Originating	ORGN
Original	ORGN
Origin	ORGN
Oriented	ORNT
Orientation	ORNT
Orient	ORNT
Outside	OSID
Other	OT
Outbound	OTBD
Outcome	OTCM
Outgoing	OTGO
Outlay	OTLY
Outstanding	OTSD
Outage	OUTG
Outstanding	OUTSTD
Overdisbursement	OVDB
Overlay	OVLY
Overpaid	OVPD
Overflow	OVR
Over	OVR
Overdue	OVRD
Override	OVRIDE
Overall	OVRL
Overmarket	OVRMKT
Overpayment	OVRPYMT
Override	OVRRD
Overstate	OVRST
Overtime	OVRTIME
Overstated	OVST
Overtime	OVTM
Overwrite	OVWRT
Overweight	OVWT
Owning	OWN
Owned	OWN
Ownership	OWNR
Owner	OWNR
Ownership	OWNSHP
Packed	PACK
Pairing	PAIR
Palatability	PALAT
Paper	PAPR
Paragraph	PARA
Parameter	PARM
Participating	PARTIC
Participant	PARTIC
Partial	PARTL
Partnership	PARTN
Partner	PARTN
Pastureland	PASTRLND
Pattern	PATRN
Payroll	PAYR
Probation	PBTN
Procurement	PCMT
Pecan	PCN
Percentage	PCT
Percent	PCT
Predominant	PDMNT
Pending	PEND
Penalty	PENTY
Performance	PERF
Perform	PERF
Perforate	PERF
Period	PERI
Permitted	PERM
Permanent	PERM
Personnel	PERS
Personal	PERS
Person	PERS
Perfected	PFCT
Platform	PFRM
Prefix	PFX
Program	PGM
Prehearing	PHEAR
Phone	PHN
Photograph	PHOTO
Phase	PHSE
Photograph	PHTO
Physical	PHY
Picture	PIC
Packed	PKD
Packaging	PKG
Package	PKG
Packet	PKT
Place	PL
Policy	PLCY
Pledge	PLDG
Plump	PLMP
Plump	PLMP
Planning	PLN
Planned	PLN
Plane	PLNE
Planting	PLNT
Planted	PLNT
Plant	PLNT
Pulpwood	PLPWD
Poultry	PLT
Plate	PLT
Pilot	PLT
Pollution	PLTN
Polyline	PLYLN
Plywood	PLYWD
Permitted	PMIT
Permit	PMIT
Permission	PMSN
Penalty	PNL
Panel	PNL
Principle	PNPL
Point	PNT
Peanut	PNUT
Policy	POLCY
Pollution	POLUTN
Pooling	POOL
Population	POP
Population	POPLTN
Positive	POS
Position	POS
Posting	POST
Postal	POST
Potential	POT
Potential	POTNT
Prepaid	PPD
Preprocess	PPROC
Preposition	PPSTN
Prior	PR
Practice	PRAC
Preapplication	PRAPP
Pricing	PRC
Price	PRC
Proceed	PRCD
Purchaser	PRCH
Purchased	PRCH
Purchase	PRCH
Parcel	PRCL
Precision	PRCS
Period	PRD
Predecessor	PRDCSR
Producer	PRDR
Prefix	PRE
Precipitation	PRECIP
Predicted	PRED
Preference	PREF
Preferred	PREFD
Preference	PREFD
Preliminary	PRELIM
Premium	PREM
Prepare	PREP
Preparation	PREP
Present	PRES
Previous	PREV
Profile	PRFL
Performed	PRFM
Performance	PRFM
Profit	PRFT
Purge	PRG
Prime	PRIM
Primary	PRIM
Principle	PRIN
Principal	PRIN
Projection	PRJ
Projected	PRJ
Project	PRJ
Preliminary	PRLM
Prompt	PRMPT
Promissory	PRMS
Prompt	PRMT
Promotion	PRMT
Principal	PRN
Perennial	PRNL
Printing	PRNT
Printer	PRNT
Printed	PRNT
Print	PRNT
Parent	PRNT
Problem	PROB
Probation	PROB
Processing	PROC
Processed	PROC
Process	PROC
Procedure	PROC
Proceed	PROCD
Procedure	PROCD
Production	PROD
Product	PROD
Producer	PRODR
Produce	PRODR
Productivity	PRODT
Production	PRODT
Product	PRODT
Progress	PROG
Projected	PROJ
Promote	PROM
Property	PROP
Protein	PROT
Protection	PROTECT
Province	PROV
Provision	PROVSN
Preparation	PRPARTN
Propagated	PRPG
Prepare	PRPRD
Purpose	PRPS
Proposed	PRPS
Perpetual	PRPT
Prerequisite	PRQS
Proration	PRRT
Prorated	PRRT
Press	PRS
Personnel	PRSN
Personal	PRSN
Person	PRSN
Preserved	PRSV
Protection	PRTC
Protected	PRTC
Protocol	PRTCL
Protein	PRTN
Portion	PRTN
Priority	PRTY
Party	PRTY
Parity	PRTY
Proven	PRV
Proven	PRV
Prove	PRV
Previous	PRV
Provider	PRVD
Provided	PRVD
Provide	PRVD
Prevent	PRVNT
Preview	PRVW
Pastureland	PSLD
Postmark	PSMK
Possession	PSN
Preserve	PSRV
Postage	PSTG
Position	PSTN
Pasture	PSTR
Pseudo	PSUD
Password	PSWRD
Pointer	PT
Point	PT
Patch	PTCH
Participation	PTCP
Participating	PTCP
Participated	PTCP
Participant	PTCP
Portfolio	PTFLO
Partially	PTL
Partial	PTL
Partnership	PTNR
Partner	PTNR
Pattern	PTRN
Party	PTY
Publish	PUB
Publication	PUB
Public	PUB
Poultry	PULT
Purchaser	PURCH
Purchase	PURCH
Purity	PURE
Purge	PURG
Purpose	PURP
Privilege	PVLG
Preventive	PVNT
Prevented	PVNT
Provisional	PVSN
Provision	PVSN
Private	PVT
Password	PWD
Powered	PWR
Power	PWR
Payable	PY
Payable	PYBL
Payee	PYE
Payment	PYMT
Payoff	PYOF
Payer	PYR
Payroll	PYRL
Quality	QLTY
Query	QRY
Question	QSTN
Quota	QTA
Quotient	QTNT
Quarterly	QTR
Quarter	QTR
Quantity	QTY
Quadruple	QUAD
Quality	QUAL
Qualifying	QUAL
Qualification	QUAL
Queued	QUE
Queue	QUE
Question	QUEST
Reactivated	RACTV
Reactivate	RACTV
Reallocation	RALC
Reallocated	RALC
Ranking	RANK
Reapportionment	RAPRN
Reapportioned	RAPRN
Reapportion	RAPRN
Ratio	RATIO
Rebuild	RBLD
Rebate	RBT
Recalculation	RCALC
Recaptured	RCAP
Recapture	RCAP
Recap	RCAP
Recording	RCD
Recorded	RCD
Record	RCD
Reclaimed	RCLM
Reclaim	RCLM
Reclassification	RCLS
Recommended	RCMD
Recommendation	RCMD
Reconstitution	RCON
Reconcentration	RCONC
Reconditioning	RCOND
Reconditioned	RCOND
Recipient	RCPNT
Recipient	RCPT
Receipted	RCPT
Receipt	RCPT
Recurring	RCR
Reconsideration	RCSDN
Recreation	RCTN
Receiving	RCV
Receiver	RCV
Received	RCV
Receive	RCV
Receivable	RCV
Recovery	RCVR
Recovered	RCVR
Recoverable	RCVR
Reduced	RDC
Reduce	RDC
Redial	RDIAL
Redemption	RDM
Redeemed	RDM
Reduction	RDN
Redesignation	RDSG
Redesignated	RDSG
Redetermination	RDTER
Ready	RDY
Reallocate	REALLOC
Reason	REAS
Record	REC
Recalculate	RECALC
Reconciliation	RECILE
Reconcile	RECILE
Reconcentration	RECILE
Recommend	RECOM
Reconstitute	RECONS
Recover	RECVR
Redefine	REDEF
Redemption	REDEM
Redeem	REDEM
Redesignate	REDESIG
Reduction	REDN
Reduce	REDN
Reemployment	REEMP
Referred	REF
Referendum	REF
Reference	REF
Refer	REF
Referral	REFAL
Refund	REFND
Regulatory	REG
Regulation	REG
Regular	REG
Register	REG
Regional	REGN
Reissue	REISS
Rejection	REJ
Rejected	REJ
Reject	REJ
Released	REL
Release	REL
Relative	RELA
Relationship	RELA
Relate	RELA
Relief	RELF
Remitter	REMIT
Remittance	REMIT
Remark	REMRK
Rented	RENT
Rental	RENT
Representative	REP
Replace	REPL
Repeat	REPT
Repayment	REPYMT
Requestor	REQE
Request	REQE
Require	REQR
Residential	RES
Resident	RES
Residence	RES
Residue	RESDNT
Resident	RESDNT
Resistance	RESIST
Responsible	RESP
Responsibility	RESP
Response	RESP
Resource	RESRC
Reserve	RESRV
Returned	RET
Return	RET
Retain	RET
Retention	RETN
Retained	RETN
Retirement	RETR
Retire	RETR
Revenue	REV
Reverse	REVRS
Referendum	RFDM
Refinanced	RFNC
Refinance	RFNC
Refund	RFND
Referral	RFRL
Refuse	RFS
Regional	RGN
Region	RGN
Regrowth	RGRWTH
Registration	RGST
Registered	RGST
Register	RGST
Right	RGT
Rehabilitation	RHAB
Reinsuring	RINS
Reinspection	RINSP
Reinstatement	RINST
Reinstated	RINST
Reinstate	RINST
Reissue	RISU
Relocation	RLOC
Relationship	RLT
Relation	RLT
Related	RLT
Relate	RLT
Rollover	RLVR
Reimbursing	RMBRS
Reimbursement	RMBRS
Remittance	RMIT
Remark	RMK
Remaining	RMN
Reminder	RMND
Reminder	RMNDR
Remote	RMT
Reamortize	RMTZ
Reamortization	RMTZ
Removed	RMV
Removal	RMV
Runner	RN
Round	RND
Randomizer	RNDM
Random	RNDM
Rainfall	RNFL
Range	RNG
Range	RNGE
Renaming	RNM
Rename	RNM
Rental	RNT
Renewed	RNW
Renewal	RNW
Rollover	ROLOVR
Reorganization	RORG
Rotation	ROT
Rotation	ROT
Rotate	ROT
Routine	ROUT
Repurchased	RPCH
Repurchase	RPCH
Replacement	RPL
Repledge	RPLDG
Riparian	RPRN
Rapseed	RPSD
Reporting	RPT
Reported	RPT
Reportable	RPT
Report	RPT
Repayment	RPY
Repaid	RPY
Requirement	RQMT
Required	RQR
Requisite	RQS
Requestor	RQST
Requested	RQST
Request	RQST
Requestee	RQSTE
Requisition	RQSTN
Requeuing	RQUE
Requeue	RQUE
Resale	RSAL
Rescheduled	RSCHD
Rescission	RSCS
Reset	RSET
Result	RSLT
Resolved	RSLV
Reason	RSN
Resolution	RSOL
Resource	RSRC
Research	RSRCH
Restriction	RST
Restrict	RSTCT
Restored	RSTR
Restore	RSTR
Restoration	RSTR
Restructured	RSTRC
Restart	RSTRT
Restoration	RSTRTN
Reserved	RSV
Reserve	RSV
Reservation	RSV
Router	RT
Route	RT
Rating	RT
Rate	RT
Routing	RTG
Retirement	RTRMT
Retry	RTRY
Runner	RUNR
Revocation	RVC
Revocable	RVC
Reverse	RVRS
Reversal	RVRS
Revision	RVS
Revised	RVS
Revise	RVS
Revision	RVSN
Reviewer	RVW
Review	RVW
Reweigh	RWGH
Reweight	RWGT
Subaccount	SACCT
Salary	SAL
Suballotment	SALOT
Saved	SAVE
Submission	SBMS
Submitter	SBMT
Submitted	SBMT
Submit	SBMT
Subordination	SBRD
Subordinate	SBRD
Subsidy	SBSD
Subsidiary	SBSD
Substantially	SBST
Subsistance	SBST
Substance	SBTNC
Scaling	SCAL
Scale	SCAL
Scanner	SCAN
Subcategory	SCAT
Scheduler	SCHD
Scheduled	SCHD
Schedule	SCHD
Schedule	SCHED
Scheme	SCHM
Schematic	SCHM
Schema	SCHM
Surcharge	SCHRG
Schlumberger	SCLBG
Sclerotinia	SCLR
Subclass	SCLS
Secondary	SCND
Scenario	SCNR
Scoring	SCOR
Score	SCOR
Scope	SCP
Script	SCPT
Subscription	SCPTN
Security	SCR
Secured	SCR
Scoured	SCR
Scour	SCR
Screen	SCRN
Sharecropper	SCROP
Scratch	SCRT
Succession	SCSN
Subcontracted	SCTR
Subcontract	SCTR
Sector	SCTR
Subdivision	SDIV
Second	SE
Seasonal	SEAS
Second	SEC
Section	SECT
Sector	SECTR
Secretary	SECY
Segregation	SEG
Segregate	SEG
Segment	SEG
Selling	SEL
Selective	SEL
Selection	SEL
Select	SEL
Selling	SELL
Separation	SEP
September	SEPT
Sequence	SEQ
Series	SER
Serial	SER
Service	SERV
Sesame	SESM
Session	SESS
Setting	SET
Sets	SET
Set	SET
Settlement	SETTL
Severance	SEVRN
Subfunction	SFCTN
Subfactor	SFCTR
Safflower	SFFLR
Safflower	SFLR
Subfund	SFUND
Suffix	SFX
Single	SGL
Segment	SGMT
Signer	SGN
Signed	SGN
Signature	SGN
Signoff	SGNF
Significant	SGNF
Signon	SGNN
Signup	SGNP
Sugar	SGR
Shape	SHAP
Shading	SHD
Shearer	SHEAR
Shortfall	SHFL
Shift	SHFT
Shipment	SHIP
Shipping	SHP
Shipper	SHP
Shipped	SHP
Shipment	SHP
Ship	SHP
Shared	SHR
Share	SHR
Shorn	SHRN
Short	SHRT
Sheet	SHT
Shutdown	SHTDN
Situation	SITN
Situation	SITU
Sieve	SIV
Skipped	SKIP
Sale	SL
Silage	SLG
Slight	SLGT
Slope	SLP
Salary	SLRY
Slightly	SLT
Salutation	SLTN
Slaughter	SLTR
Salvage	SLVG
Small	SML
Similar	SMLR
Simultaneous	SMLT
Sample	SMP
Sample	SMPL
Smart	SMRT
Smoothing	SMTH
Smutty	SMUT
Since	SNC
Sound	SND
Soundex	SNDX
Sunflower	SNFLR
Syntax	SNTX
Sorghum	SO
Subobject	SOBJ
Socially	SOCL
Social	SOCL
Solid	SOLID
Subparagraph	SPARA
Spacer	SPC
Space	SPC
Specification	SPCF
Specific	SPCF
Spotcheck	SPCK
Special	SPCL
Species	SPCS
Speed	SPD
Specific	SPEC
Special	SPEC
Supplemental	SPLMTL
Surplus	SPLS
Split	SPLT
Spanish	SPN
Sponsor	SPNSR
Spread	SPRD
Springer	SPRG
Spring	SPRG
Sprig	SPRIG
Supportable	SPRT
Support	SPRT
Sprout	SPRT
Spouse	SPS
Supervisor	SPVS
Supervision	SPVS
Supervising	SPVS
Supervised	SPVS
Supervise	SPVS
Source	SRC
Search	SRCH
Search	SRCH
Surface	SRFC
Shrinkage	SRNK
Shrink	SRNK
Served	SRV
Serve	SRV
Survival	SRVL
Server	SRVR
Survey	SRVY
Steamship	SS
Subsequent	SSEQ
Sensitivity	SSTV
Sensitive	SSTV
Subsystem	SSYS
Street	ST
State	ST
Station	STA
Stabilization	STABLE
Staple	STAPL
Status	STAT
Statistics	STAT
Statistical	STAT
Static	STAT
Stabilization	STBL
Stacking	STCK
Standard	STD
Student	STDNT
Staff	STF
Setoff	STF
Stage	STG
Stocking	STK
Stock	STK
Settlement	STL
Settled	STL
Stamp	STMP
Statement	STMT
Stone	STN
Station	STN
Stained	STN
Stain	STN
Stone	STON
Stored	STOR
Store	STOR
Subtotal	STOT
Staple	STPL
String	STR
Strength	STR
Street	STR
Stratification	STRAT
Structure	STRC
Storage	STRG
Strength	STRGTH
Stream	STRM
Straight	STRT
Starting	STRT
Started	STRT
Start	STRT
Satisfy	STSF
Satisfied	STSF
Stubble	STUB
Statutory	STUT
Stevedor	STVDR
Steward	STWRD
Subtype	STYPE
Substitution	SUB
Substitute	SUB
Subscript	SUB
Subclass	SUBCLS
Subjective	SUBJ
Subject	SUBJ
Subordinate	SUBORD
Substitute	SUBST
Substance	SUBSTNC
Subtotal	SUBTOT
Successor	SUCC
Successful	SUCC
Success	SUCC
Suffix	SUFX
Suitable	SUIT
Suitability	SUIT
Suitable	SUITBLE
Summary	SUMM
Summer	SUMR
Supplement	SUP
Supply	SUPL
Supplier	SUPL
Supplementary	SUPL
Supplemental	SUPL
Support	SUPT
Surrender	SURR
Survey	SURV
Suspension	SUSP
Suspense	SUSP
Suspension	SUSPD
Suspend	SUSPD
Suspence	SUSPD
Servicing	SVC
Service	SVC
Seven	SVN
Severity	SVR
Sovereign	SVRN
Switch	SW
Software	SW
Softwood	SWD
Sewage	SWG
Sweep	SWP
Sixplex	SXPLX
Sixth	SXTH
Soybean	SY
Symbol	SYM
Synchronization	SYNC
System	SYS
Tasked	TASK
Taxes	TAX
Table	TBL
Timber	TBR
Technology	TECH
Technician	TECH
Technical	TECH
Telephone	TEL
Temporary	TEMP
Temperature	TEMP
Terms	TERM
Termination	TERM
Terminate	TERM
Terminal	TERM
Transfered	TFR
Transfer	TFR
Target	TGT
Threshold	THLD
Third	THRD
Throughput	THRU
Through	THRU
Thirteen	THTN
Tillable	TILL
Trailer	TLR
Telex	TLX
Time	TM
Timekeeper	TMKP
Timekeeper	TMKPR
Timeout	TMOT
Template	TMPL
Timer	TMR
Timesheet	TMSHT
Tenure	TNR
Tenant	TNT
Tobacco	TOB
Tolerance	TOLR
Total	TOT
Toxic	TOX
Typical	TPCL
Telephone	TPHN
Tract	TR
Transition	TRANS
Trouble	TRBL
Trade	TRDE
Traditionally	TRDN
Treasury	TREAS
Treatment	TREAT
Tariff	TRF
Traffic	TRFC
Tariff	TRFF
Triangle	TRGL
Trigger	TRGR
Target	TRGT
Tertiary	TRI
Truck	TRK
Tracking	TRK
Track	TRK
Trailer	TRLR
Transmittal	TRMTL
Tranch	TRNC
Trend	TRND
Training	TRNG
Translation	TRNLT
Translate	TRNLT
Transmitter	TRNSM
Transmitted	TRNSM
Transmit	TRNSM
Transmission	TRNSM
Transmittal	TRNSMTL
Transportation	TRNSP
Transitional	TRNST
Transition	TRNST
Transit	TRNST
Triple	TRPL
Trash	TRSH
Treasury	TRSRY
Trust	TRST
Treated	TRT
Treat	TRT
Treatment	TRTM
Truckload	TRUCKLD
Travel	TRVL
Transhipment	TSHP
Tranship	TSHP
Title	TTL
Tuber	TUBR
Twelve	TWLV
Taxable	TXBL
Transaction	TXN
Text	TXT
Unaffected	UAFCT
Unapplied	UAPP
Unattended	UATND
Unauthorized	UAUTH
Unclassified	UCLS
Unclassed	UCLS
Uncounted	UCNT
Uncollectible	UCOLL
Undispursed	UDISB
Unearned	UEARN
Unequal	UEQ
Uniformity	UFRM
Unharvested	UHVST
Unissued	UISS
Unlisted	ULIST
Unliquidated	ULQD
Unlimited	ULTD
Unmarketed	UMKT
Undermarketed	UMKT
Undermarket	UMKT
Unapplied	UNAPPL
Unauthorized	UNAUTH
Unbooked	UNBK
Unbook	UNBK
Under	UND
Undermarket	UNDMKT
Understate	UNDST
Unidentify	UNID
Uniform	UNIFRM
Universal	UNIV
Unknown	UNK
Unload	UNLD
Unlimited	UNLMT
Unpaid	UNPD
Unpacked	UNPK
Unpack	UNPK
Unprint	UNPRT
Unscheduled	UNSCHED
Unseeded	UNSD
Unsettled	UNSETLD
Unshorn	UNSHRN
Understated	UNST
Unused	UNUS
Unused	UNUSE
Unobligated	UOBL
Upper	UP
Update	UPD
Update	UPDTE
Upload	UPLD
Upland	UPLD
Underplanted	UPLNT
Underpayment	UPYMT
Unqualified	UQUAL
Unreleased	UREL
Unsecured	USCR
Usage	USE
Unshorn	USHRN
Undersize	USIZE
Unsettled	USTL
Unstructured	USTRC
Utilization	UTIL
Universal	UVRS
Virginia	VA
Value	VAL
Valencia	VAL
Valencia	VALEN
Various	VAR
Variety	VAR
Variance	VAR
Variable	VAR
Variance	VARNC
Variant	VARNT
Voucher	VCHR
Vegetable	VEG
Vehicle	VEH
Vendor	VEND
Version	VER
Version	VERSN
Vessel	VESL
Veteran	VET
Vigor	VGOR
Vineyard	VINE
Violation	VIOLAT
Visible	VIS
Validation	VLD
Validated	VLD
Valid	VLD
Violation	VLT
Violated	VLT
Vomitoxim	VMTX
Veneer	VNR
Venture	VNTR
Vineyard	VNYD
Voice	VOCE
Voluntary	VOL
Volume	VOL
Voting	VOTE
Voter	VOTE
Verify	VRFY
Verify	VRFY
Verified	VRFY
Virtual	VRTL
Versus	VS
Visit	VST
Vesting	VSTNG
Voyage	VYG
Warning	WARN
Waiver	WAVR
Woodland	WDLD
Writedown	WDN
Withdrawn	WDRW
Withdrawal	WDRW
Width	WDTH
Weather	WEATH
Western	WEST
Wheat	WH
Whole	WHL
Withholding	WHLD
Withheld	WHLD
Warehouse	WHSE
White	WHT
Within	WI
Willing	WILL
Window	WIN
Wiring	WIRE
Weekly	WK
Weekday	WKDY
Workload	WKLD
Worksheet	WKSHT
Workstation	WKSTN
Wetland	WL
Welcome	WLCM
Wildlife	WLDLF
Wellhead	WLHD
Wool/Mohair	WM
Winter	WNTR
Without	WO
Writeoff	WOF
Wrapper	WRAP
Workload	WRKLD
Workstation	WRKSTN
World	WRLD
Warning	WRNG
Warranty	WRNTY
Written	WRT
Worth	WRTH
Written	WRTN
Waste	WST
Weighted	WT
Weight	WT
Withholding	WTHLD
Weathered	WTHR
Water	WTR
Waiver	WV
Waived	WV
Waive	WV
Weevily	WVLY
Weevily	WVLY
Waybill	WYBL
Except	XCPT
Excise	XCSE
Transferred	XFR
Transferor	XFR
Transferee	XFR
Transfer	XFR
Transformation	XFRM
Transform	XFRM
Christmas	XMAS
Exempt	XMPT
Exporter	XPT
Extraneous	XTRA
Extra	XTRA
Extract	XTRC
Yield	YLD
Yellowness	YLW
Yellow	YLW
Year	YR
Youth	YTH
